Subject Number,Gender,"Acromial Height, Sitting (mm)",Ankle Circumference (mm),Spine-to-Shoulder (mm),Spine-to-Elbow (mm),Arm Length (Spine to Wrist) (mm),Arm Length (Shoulder to Wrist) (mm),Arm Length (Shoulder to Elbow) (mm),Armscye Circumference (Scye Circ Over Acromion) (mm),Bizygomatic Breadth (mm),Chest Circumference (mm),Bust/Chest Circumference Under Bust (mm),Buttock-Knee Length (mm),Chest Girth at Scye (Chest Circumference at Scye)(mm),Crotch Height (mm),"Elbow Height, Sitting (mm)","Eye Height, Sitting (mm)",Face Length (mm),Foot Length (mm),Hand Circumference (mm),Hand Length (mm),Head Breadth (mm),Head Circumference (mm),Head Length (mm),"Hip Breadth, Sitting (mm)","Hip Circumference, Maximum (mm)",Hip Circ Max Height (mm),Knee Height (mm),Neck Base Circumference (mm),Shoulder Breadth (mm),Sitting Height (mm),Stature (mm),Subscapular Skinfold (mm),Thigh Circumference (mm),Thigh Circumference Max Sitting (mm),Thumb Tip Reach (mm),TTR 1 (mm),TTR 2 (mm),TTR 3 (mm),Triceps Skinfold (mm),Total Crotch Length (Crotch Length) (mm),Vertical Trunk Circumference (mm),"Waist Circumference, Pref (mm)",Waist Front Length (mm),"Waist Height, Preferred (mm)",Weight (kg),frontal_image,lateral_image,frontal_mask,lateral_mask
1150,Female,568.0,236.0,182.0,540.0,810.0,628.0,358.0,405.0,134.0,934.0,772.0,603.0,864.0,824.0,196.0,758.0,108.0,236.0,194.0,199.0,148.0,565.0,200.0,350.0,910.0,840.0,533.0,407.0,424.0,865.0,1709.0,12.0,525.0,530.0,776.3,775.0,780.0,774.0,7.0,640.0,1511.0,700.0,365.0,1075.0,58.28,csr1150a_frontal.png,csr1150a_lateral.png,csr1150a_frontal_mask.png,csr1150a_lateral_mask.png
1151,Male,624.0,272.0,236.0,567.0,875.0,639.0,331.0,501.0,147.0,1102.0,,634.0,1102.0,805.0,269.0,833.0,117.0,266.0,230.0,204.0,155.0,568.0,196.0,404.0,1116.0,905.0,572.0,484.0,534.0,951.0,1803.0,25.0,659.0,660.0,840.6,839.0,844.0,839.0,14.5,661.0,1759.0,970.0,482.0,1065.0,96.15,csr1151a_frontal.png,csr1151a_lateral.png,csr1151a_frontal_mask.png,csr1151a_lateral_mask.png
1152,Female,586.0,233.0,185.0,495.0,740.0,555.0,310.0,387.0,130.0,896.0,773.0,579.0,868.0,735.0,255.0,777.0,116.0,242.0,199.0,188.0,146.0,541.0,189.0,416.0,1050.0,751.0,502.0,390.0,430.0,887.0,1629.0,12.5,620.0,630.0,708.6,699.0,705.0,722.0,21.0,705.0,1560.0,698.0,360.0,989.0,61.68,csr1152a_frontal.png,csr1152a_lateral.png,csr1152a_frontal_mask.png,csr1152a_lateral_mask.png
1153,Male,591.0,265.0,214.0,540.0,831.0,617.0,326.0,475.0,147.0,1026.0,,620.0,1049.0,779.0,225.0,775.0,131.0,266.0,220.0,210.0,156.0,568.0,195.0,371.0,1030.0,883.0,558.0,491.0,487.0,910.0,1759.0,22.5,604.0,605.0,804.3,811.0,801.0,801.0,11.5,643.0,1700.0,864.0,432.0,1019.0,83.67,csr1153a_frontal.png,csr1153a_lateral.png,csr1153a_frontal_mask.png,csr1153a_lateral_mask.png
1154,Male,601.0,238.0,195.0,524.0,808.0,613.0,329.0,388.0,138.0,813.0,,590.0,830.0,835.0,242.0,797.0,128.0,258.0,202.0,198.0,152.0,575.0,195.0,317.0,852.0,931.0,567.0,428.0,438.0,910.0,1784.0,6.5,475.0,472.0,785.6,794.0,782.0,781.0,5.0,560.0,1590.0,742.0,412.0,1032.0,53.51,csr1154a_frontal.png,csr1154a_lateral.png,csr1154a_frontal_mask.png,csr1154a_lateral_mask.png
1155,Male,594.0,266.0,209.0,537.0,825.0,616.0,328.0,428.0,154.0,974.0,,588.0,993.0,757.0,241.0,786.0,129.0,247.0,220.0,199.0,157.0,592.0,210.0,366.0,1036.0,835.0,543.0,472.0,477.0,905.0,1706.0,14.0,610.0,604.0,774.0,769.0,776.0,777.0,9.5,615.0,1631.0,797.0,436.0,986.0,75.28,csr1155a_frontal.png,csr1155a_lateral.png,csr1155a_frontal_mask.png,csr1155a_lateral_mask.png
1156,Male,557.0,256.0,201.0,517.0,796.0,595.0,316.0,401.0,140.0,850.0,,575.0,875.0,739.0,211.0,739.0,110.0,255.0,195.0,194.0,153.0,585.0,207.0,340.0,945.0,811.0,524.0,435.0,463.0,858.0,1659.0,11.0,539.0,527.0,772.3,759.0,787.0,771.0,9.0,575.0,1560.0,765.0,408.0,949.0,60.54,csr1156a_frontal.png,csr1156a_lateral.png,csr1156a_frontal_mask.png,csr1156a_lateral_mask.png
1157,Female,664.0,239.0,205.0,542.0,805.0,600.0,337.0,345.0,130.0,892.0,734.0,583.0,855.0,811.0,324.0,878.0,122.0,252.0,193.0,194.0,142.0,568.0,201.0,426.0,1030.0,805.0,527.0,430.0,425.0,994.0,1800.0,12.0,577.0,580.0,745.3,738.0,746.0,752.0,12.5,680.0,1681.0,705.0,425.0,1073.0,62.13,csr1157a_frontal.png,csr1157a_lateral.png,csr1157a_frontal_mask.png,csr1157a_lateral_mask.png
1158,Female,606.0,260.0,186.0,535.0,787.0,601.0,349.0,373.0,140.0,881.0,798.0,626.0,855.0,803.0,249.0,812.0,124.0,259.0,193.0,197.0,146.0,568.0,195.0,433.0,1100.0,838.0,545.0,395.0,426.0,915.0,1742.0,11.0,641.0,642.0,740.3,728.0,754.0,739.0,14.0,722.0,1611.0,780.0,405.0,1069.0,68.48,csr1158a_frontal.png,csr1158a_lateral.png,csr1158a_frontal_mask.png,csr1158a_lateral_mask.png
1159,Male,645.0,295.0,223.0,575.0,889.0,666.0,352.0,470.0,143.0,1130.0,,668.0,1100.0,790.0,266.0,839.0,124.0,274.0,233.0,208.0,158.0,582.0,200.0,412.0,1141.0,892.0,586.0,493.0,540.0,966.0,1843.0,22.0,677.0,687.0,872.3,861.0,885.0,871.0,15.5,647.0,1843.0,1057.0,538.0,1068.0,104.08,csr1159a_frontal.png,csr1159a_lateral.png,csr1159a_frontal_mask.png,csr1159a_lateral_mask.png
1160,Female,550.0,234.0,178.0,484.0,690.0,512.0,306.0,375.0,133.0,915.0,763.0,524.0,863.0,659.0,239.0,725.0,104.0,234.0,171.0,175.0,144.0,534.0,178.0,404.0,1010.0,697.0,459.0,390.0,425.0,826.0,1496.0,17.0,590.0,585.0,631.3,629.0,628.0,637.0,19.5,722.0,1499.0,740.0,305.0,924.0,59.41,csr1160a_frontal.png,csr1160a_lateral.png,csr1160a_frontal_mask.png,csr1160a_lateral_mask.png
1162,Female,569.0,223.0,190.0,492.0,715.0,525.0,302.0,385.0,120.0,887.0,750.0,572.0,865.0,696.0,278.0,748.0,114.0,221.0,181.0,178.0,140.0,543.0,192.0,369.0,955.0,738.0,459.0,410.0,410.0,861.0,1583.0,23.5,563.0,567.0,641.3,644.0,644.0,636.0,19.0,650.0,1509.0,730.0,352.0,945.0,55.1,csr1162a_frontal.png,csr1162a_lateral.png,csr1162a_frontal_mask.png,csr1162a_lateral_mask.png
1163,Female,567.0,208.0,172.0,485.0,734.0,562.0,313.0,350.0,144.0,783.0,698.0,550.0,762.0,741.0,239.0,743.0,109.0,221.0,177.0,187.0,159.0,556.0,195.0,365.0,920.0,756.0,487.0,377.0,403.0,884.0,1632.0,10.0,516.0,505.0,688.6,688.0,689.0,689.0,17.0,675.0,1438.0,629.0,335.0,1014.0,46.94,csr1163a_frontal.png,csr1163a_lateral.png,csr1163a_frontal_mask.png,csr1163a_lateral_mask.png
1164,Female,564.0,222.0,197.0,506.0,751.0,554.0,309.0,398.0,137.0,908.0,765.0,580.0,871.0,723.0,245.0,783.0,118.0,216.0,194.0,179.0,145.0,575.0,190.0,414.0,1052.0,770.0,483.0,398.0,431.0,890.0,1640.0,11.0,633.0,635.0,704.3,704.0,706.0,703.0,15.0,721.0,1577.0,745.0,372.0,1003.0,66.44,csr1164a_frontal.png,csr1164a_lateral.png,csr1164a_frontal_mask.png,csr1164a_lateral_mask.png
1165,Male,605.0,272.0,216.0,529.0,833.0,617.0,313.0,396.0,141.0,928.0,,603.0,965.0,767.0,269.0,807.0,126.0,260.0,218.0,203.0,156.0,584.0,204.0,377.0,1017.0,904.0,548.0,463.0,462.0,939.0,1777.0,19.0,599.0,613.0,772.0,774.0,770.0,772.0,18.0,674.0,1739.0,932.0,487.0,1027.0,79.59,csr1165a_frontal.png,csr1165a_lateral.png,csr1165a_frontal_mask.png,csr1165a_lateral_mask.png
1166,Female,667.0,285.0,192.0,566.0,874.0,682.0,374.0,515.0,140.0,1151.0,988.0,720.0,1071.0,864.0,281.0,877.0,121.0,272.0,205.0,202.0,150.0,574.0,192.0,517.0,1286.0,913.0,586.0,450.0,559.0,983.0,1875.0,52.0,820.0,809.0,849.3,851.0,848.0,849.0,42.0,825.0,1839.0,1061.0,445.0,1173.0,124.49,csr1166a_frontal.png,csr1166a_lateral.png,csr1166a_frontal_mask.png,csr1166a_lateral_mask.png
1167,Female,574.0,232.0,183.0,532.0,800.0,617.0,349.0,365.0,136.0,813.0,705.0,615.0,811.0,858.0,213.0,761.0,116.0,235.0,179.0,193.0,141.0,540.0,180.0,349.0,910.0,898.0,545.0,381.0,390.0,860.0,1711.0,8.5,508.0,490.0,742.3,754.0,736.0,737.0,12.0,612.0,1445.0,692.0,330.0,1097.0,49.89,csr1167a_frontal.png,csr1167a_lateral.png,csr1167a_frontal_mask.png,csr1167a_lateral_mask.png
1168,Female,591.0,235.0,182.0,502.0,745.0,563.0,320.0,370.0,152.0,792.0,675.0,548.0,798.0,714.0,264.0,794.0,113.0,234.0,187.0,187.0,162.0,558.0,170.0,369.0,960.0,748.0,495.0,395.0,409.0,904.0,1646.0,12.5,550.0,532.0,687.6,689.0,688.0,686.0,13.5,685.0,1549.0,648.0,365.0,992.0,53.51,csr1168a_frontal.png,csr1168a_lateral.png,csr1168a_frontal_mask.png,csr1168a_lateral_mask.png
1174,Female,611.0,274.0,215.0,586.0,870.0,655.0,371.0,520.0,142.0,1286.0,1054.0,661.0,1180.0,727.0,264.0,771.0,133.0,266.0,230.0,260.0,163.0,595.0,192.0,514.0,1287.0,888.0,556.0,480.0,526.0,874.0,1685.0,48.0,790.0,804.0,770.3,769.0,765.0,777.0,25.0,923.0,1826.0,1139.0,405.0,1063.0,124.26,csr1174a_frontal.png,csr1174a_lateral.png,csr1174a_frontal_mask.png,csr1174a_lateral_mask.png
1175,Female,550.0,250.0,200.0,528.0,815.0,615.0,328.0,400.0,131.0,978.0,824.0,618.0,925.0,756.0,212.0,742.0,116.0,257.0,188.0,204.0,144.0,555.0,183.0,446.0,1143.0,820.0,521.0,405.0,457.0,854.0,1651.0,28.0,684.0,665.0,712.6,695.0,732.0,711.0,33.5,743.0,1603.0,839.0,335.0,1017.0,78.68,csr1175a_frontal.png,csr1175a_lateral.png,csr1175a_frontal_mask.png,csr1175a_lateral_mask.png
1176,Male,596.0,265.0,213.0,543.0,844.0,631.0,330.0,402.0,142.0,884.0,,588.0,896.0,788.0,236.0,821.0,126.0,265.0,196.0,209.0,157.0,595.0,210.0,360.0,968.0,854.0,545.0,435.0,458.0,948.0,1779.0,18.0,548.0,563.0,787.3,790.0,785.0,787.0,11.5,635.0,1641.0,848.0,467.0,1030.0,71.88,csr1176a_frontal.png,csr1176a_lateral.png,csr1176a_frontal_mask.png,csr1176a_lateral_mask.png
1177,Female,582.0,305.0,196.0,522.0,800.0,604.0,326.0,440.0,141.0,1078.0,943.0,617.0,990.0,706.0,252.0,744.0,118.0,255.0,212.0,201.0,165.0,625.0,209.0,593.0,1311.0,744.0,522.0,416.0,460.0,878.0,1641.0,37.0,800.0,815.0,752.0,745.0,764.0,747.0,42.0,780.0,1700.0,937.0,444.0,964.0,109.07,csr1177a_frontal.png,csr1177a_lateral.png,csr1177a_frontal_mask.png,csr1177a_lateral_mask.png
1178,Female,571.0,243.0,180.0,515.0,777.0,597.0,335.0,539.0,135.0,1375.0,1090.0,604.0,1195.0,651.0,254.0,710.0,127.0,237.0,203.0,192.0,157.0,592.0,197.0,514.0,1380.0,780.0,485.0,472.0,550.0,835.0,1531.0,52.5,830.0,820.0,712.3,708.0,709.0,720.0,37.5,915.0,1795.0,1063.0,440.0,946.0,116.78,csr1178a_frontal.png,csr1178a_lateral.png,csr1178a_frontal_mask.png,csr1178a_lateral_mask.png
1179,Male,619.0,308.0,233.0,599.0,923.0,690.0,366.0,578.0,164.0,1117.0,,665.0,1172.0,879.0,240.0,790.0,121.0,295.0,240.0,224.0,163.0,601.0,206.0,436.0,1207.0,913.0,596.0,525.0,577.0,936.0,1837.0,37.0,750.0,762.0,865.6,865.0,867.0,865.0,24.5,692.0,1882.0,1086.0,620.0,1077.0,128.12,csr1179a_frontal.png,csr1179a_lateral.png,csr1179a_frontal_mask.png,csr1179a_lateral_mask.png
1180,Female,590.0,280.0,198.0,553.0,826.0,628.0,355.0,510.0,133.0,1270.0,1154.0,621.0,1188.0,734.0,252.0,741.0,129.0,269.0,210.0,206.0,145.0,587.0,194.0,462.0,1282.0,820.0,515.0,446.0,576.0,839.0,1612.0,44.5,705.0,740.0,775.0,771.0,794.0,760.0,37.0,823.0,1784.0,1303.0,480.0,968.0,113.83,csr1180a_frontal.png,csr1180a_lateral.png,csr1180a_frontal_mask.png,csr1180a_lateral_mask.png
1181,Male,564.0,238.0,212.0,508.0,789.0,577.0,296.0,406.0,145.0,858.0,,581.0,886.0,708.0,230.0,785.0,120.0,236.0,196.0,186.0,153.0,589.0,208.0,341.0,930.0,756.0,482.0,445.0,459.0,898.0,1648.0,11.5,554.0,542.0,738.0,736.0,739.0,739.0,10.5,607.0,1598.0,772.0,452.0,938.0,61.9,csr1181a_frontal.png,csr1181a_lateral.png,csr1181a_frontal_mask.png,csr1181a_lateral_mask.png
1182,Female,612.0,289.0,192.0,585.0,901.0,709.0,393.0,512.0,135.0,1306.0,1054.0,805.0,1225.0,904.0,225.0,779.0,135.0,301.0,207.0,231.0,148.0,620.0,206.0,663.0,1610.0,965.0,649.0,468.0,576.0,900.0,1860.0,56.0,995.0,987.0,845.3,841.0,855.0,840.0,37.0,940.0,1890.0,1235.0,405.0,1215.0,154.88,csr1182a_frontal.png,csr1182a_lateral.png,csr1182a_frontal_mask.png,csr1182a_lateral_mask.png
1184,Female,560.0,252.0,230.0,540.0,833.0,603.0,310.0,485.0,142.0,1127.0,1012.0,585.0,1085.0,735.0,228.0,745.0,113.0,239.0,196.0,184.0,156.0,565.0,186.0,422.0,1150.0,898.0,520.0,460.0,523.0,855.0,1652.0,22.0,630.0,657.0,738.6,734.0,738.0,744.0,30.5,745.0,1728.0,965.0,425.0,1011.0,93.2,csr1184a_frontal.png,csr1184a_lateral.png,csr1184a_frontal_mask.png,csr1184a_lateral_mask.png
1185,Male,688.0,298.0,212.0,576.0,885.0,673.0,364.0,441.0,154.0,1132.0,,656.0,1095.0,901.0,284.0,882.0,131.0,300.0,230.0,217.0,156.0,572.0,194.0,421.0,1096.0,1024.0,640.0,488.0,497.0,1000.0,1965.0,24.0,610.0,615.0,904.0,901.0,902.0,909.0,15.5,765.0,1882.0,1063.0,497.0,1211.0,106.12,csr1185a_frontal.png,csr1185a_lateral.png,csr1185a_frontal_mask.png,csr1185a_lateral_mask.png
1186,Male,554.0,270.0,206.0,539.0,819.0,613.0,333.0,426.0,141.0,972.0,,579.0,1008.0,757.0,200.0,763.0,123.0,255.0,207.0,190.0,156.0,577.0,199.0,355.0,989.0,829.0,524.0,445.0,473.0,880.0,1677.0,18.0,591.0,602.0,770.0,769.0,771.0,770.0,16.0,610.0,1574.0,805.0,413.0,986.0,72.79,csr1186a_frontal.png,csr1186a_lateral.png,csr1186a_frontal_mask.png,csr1186a_lateral_mask.png
1187,Male,566.0,265.0,210.0,554.0,852.0,642.0,344.0,431.0,138.0,982.0,,609.0,967.0,787.0,190.0,759.0,120.0,260.0,207.0,202.0,153.0,585.0,199.0,359.0,967.0,865.0,543.0,455.0,476.0,866.0,1730.0,8.5,557.0,552.0,777.6,775.0,779.0,779.0,7.5,556.0,1592.0,838.0,440.0,980.0,68.93,csr1187a_frontal.png,csr1187a_lateral.png,csr1187a_frontal_mask.png,csr1187a_lateral_mask.png
1188,Male,630.0,280.0,203.0,555.0,866.0,663.0,352.0,432.0,145.0,1020.0,,632.0,1022.0,822.0,242.0,836.0,124.0,278.0,207.0,205.0,152.0,575.0,191.0,342.0,942.0,937.0,572.0,400.0,479.0,954.0,1831.0,21.0,540.0,545.0,836.6,833.0,838.0,839.0,14.5,637.0,1702.0,823.0,455.0,1076.0,73.02,csr1188a_frontal.png,csr1188a_lateral.png,csr1188a_frontal_mask.png,csr1188a_lateral_mask.png
1189,Male,629.0,268.0,206.0,560.0,844.0,638.0,354.0,473.0,147.0,1012.0,,637.0,1002.0,818.0,258.0,830.0,127.0,270.0,218.0,204.0,152.0,595.0,207.0,402.0,1106.0,909.0,574.0,473.0,487.0,973.0,1818.0,18.0,623.0,629.0,802.3,799.0,789.0,819.0,16.0,652.0,1745.0,905.0,507.0,1038.0,88.66,csr1189a_frontal.png,csr1189a_lateral.png,csr1189a_frontal_mask.png,csr1189a_lateral_mask.png
1190,Male,636.0,273.0,182.0,518.0,825.0,643.0,336.0,487.0,151.0,1110.0,,624.0,1072.0,767.0,275.0,798.0,122.0,284.0,220.0,195.0,158.0,591.0,211.0,400.0,1070.0,905.0,572.0,482.0,500.0,923.0,1785.0,28.0,636.0,635.0,838.6,852.0,854.0,810.0,13.0,710.0,1814.0,1037.0,548.0,1056.0,98.41,csr1190a_frontal.png,csr1190a_lateral.png,csr1190a_frontal_mask.png,csr1190a_lateral_mask.png
1191,Male,638.0,274.0,197.0,548.0,855.0,658.0,351.0,462.0,146.0,1019.0,,616.0,1027.0,797.0,258.0,808.0,130.0,264.0,214.0,202.0,158.0,577.0,195.0,378.0,1000.0,888.0,552.0,452.0,477.0,934.0,1797.0,18.0,575.0,582.0,830.0,839.0,825.0,826.0,10.0,648.0,1745.0,912.0,450.0,1052.0,81.18,csr1191a_frontal.png,csr1191a_lateral.png,csr1191a_frontal_mask.png,csr1191a_lateral_mask.png
1192,Male,645.0,303.0,210.0,577.0,888.0,678.0,367.0,516.0,150.0,1050.0,,632.0,1084.0,835.0,262.0,858.0,132.0,285.0,222.0,205.0,159.0,581.0,199.0,397.0,1086.0,856.0,569.0,485.0,502.0,973.0,1831.0,16.0,662.0,662.0,835.3,832.0,835.0,839.0,12.5,661.0,1717.0,844.0,468.0,1077.0,91.16,csr1192a_frontal.png,csr1192a_lateral.png,csr1192a_frontal_mask.png,csr1192a_lateral_mask.png
1193,Male,621.0,287.0,207.0,539.0,845.0,638.0,332.0,451.0,135.0,1029.0,,645.0,1030.0,825.0,293.0,807.0,125.0,287.0,234.0,208.0,153.0,593.0,213.0,374.0,1014.0,975.0,573.0,452.0,481.0,943.0,1830.0,17.0,559.0,564.0,804.0,794.0,804.0,814.0,8.0,729.0,1748.0,943.0,445.0,1115.0,88.21,csr1193a_frontal.png,csr1193a_lateral.png,csr1193a_frontal_mask.png,csr1193a_lateral_mask.png
1194,Female,562.0,235.0,187.0,474.0,750.0,563.0,287.0,358.0,128.0,856.0,697.0,560.0,852.0,729.0,244.0,756.0,112.0,237.0,177.0,176.0,143.0,538.0,184.0,400.0,1036.0,764.0,503.0,378.0,406.0,862.0,1608.0,8.5,605.0,600.0,717.6,725.0,715.0,713.0,15.5,718.0,1518.0,670.0,353.0,990.0,58.05,csr1194a_frontal.png,csr1194a_lateral.png,csr1194a_frontal_mask.png,csr1194a_lateral_mask.png
1195,Female,566.0,243.0,197.0,491.0,745.0,548.0,294.0,413.0,133.0,1023.0,836.0,569.0,966.0,710.0,253.0,757.0,110.0,227.0,181.0,170.0,149.0,563.0,189.0,416.0,1065.0,777.0,493.0,418.0,454.0,861.0,1592.0,20.5,627.0,635.0,719.6,713.0,719.0,727.0,25.5,740.0,1606.0,823.0,357.0,988.0,71.66,csr1195a_frontal.png,csr1195a_lateral.png,csr1195a_frontal_mask.png,csr1195a_lateral_mask.png
1196,Male,617.0,282.0,204.0,561.0,877.0,673.0,357.0,427.0,143.0,958.0,,645.0,963.0,859.0,231.0,826.0,120.0,274.0,205.0,212.0,157.0,575.0,203.0,376.0,1010.0,964.0,585.0,454.0,490.0,956.0,1852.0,8.5,606.0,605.0,839.6,842.0,838.0,839.0,11.0,637.0,1650.0,849.0,442.0,1125.0,81.86,csr1196a_frontal.png,csr1196a_lateral.png,csr1196a_frontal_mask.png,csr1196a_lateral_mask.png
1197,Female,564.0,233.0,208.0,495.0,754.0,546.0,287.0,354.0,134.0,980.0,784.0,558.0,922.0,700.0,253.0,772.0,107.0,245.0,182.0,178.0,149.0,549.0,193.0,373.0,979.0,755.0,480.0,408.0,433.0,881.0,1615.0,15.5,566.0,580.0,691.3,689.0,691.0,694.0,13.5,575.0,1556.0,818.0,428.0,938.0,61.22,csr1197a_frontal.png,csr1197a_lateral.png,csr1197a_frontal_mask.png,csr1197a_lateral_mask.png
1198,Female,584.0,248.0,214.0,509.0,803.0,589.0,295.0,401.0,133.0,1049.0,836.0,616.0,969.0,744.0,266.0,780.0,110.0,250.0,176.0,184.0,142.0,546.0,187.0,474.0,1172.0,825.0,527.0,410.0,457.0,889.0,1672.0,22.0,705.0,712.0,773.3,780.0,780.0,760.0,30.0,770.0,1671.0,841.0,413.0,1047.0,82.31,csr1198a_frontal.png,csr1198a_lateral.png,csr1198a_frontal_mask.png,csr1198a_lateral_mask.png
1199,Male,586.0,283.0,213.0,587.0,925.0,712.0,374.0,433.0,139.0,912.0,,650.0,935.0,890.0,180.0,774.0,125.0,275.0,203.0,207.0,153.0,561.0,200.0,359.0,972.0,967.0,586.0,428.0,471.0,892.0,1833.0,8.5,548.0,546.0,876.3,875.0,882.0,872.0,7.0,615.0,1632.0,781.0,428.0,1124.0,70.98,csr1199a_frontal.png,csr1199a_lateral.png,csr1199a_frontal_mask.png,csr1199a_lateral_mask.png
1200,Female,588.0,232.0,192.0,498.0,792.0,600.0,306.0,371.0,136.0,908.0,747.0,575.0,870.0,755.0,253.0,766.0,109.0,242.0,187.0,179.0,146.0,550.0,191.0,376.0,980.0,812.0,509.0,414.0,422.0,893.0,1664.0,19.0,602.0,604.0,730.3,727.0,738.0,726.0,18.0,648.0,1583.0,740.0,368.0,892.0,62.81,csr1200a_frontal.png,csr1200a_lateral.png,csr1200a_frontal_mask.png,csr1200a_lateral_mask.png
1201,Female,589.0,243.0,190.0,501.0,782.0,592.0,311.0,357.0,133.0,874.0,764.0,611.0,847.0,777.0,254.0,780.0,100.0,235.0,183.0,182.0,147.0,550.0,188.0,416.0,1049.0,842.0,524.0,415.0,418.0,896.0,1710.0,12.0,609.0,600.0,753.0,755.0,752.0,752.0,15.5,745.0,1599.0,710.0,343.0,1085.0,63.27,csr1201a_frontal.png,csr1201a_lateral.png,csr1201a_frontal_mask.png,csr1201a_lateral_mask.png
1202,Female,548.0,241.0,211.0,505.0,766.0,555.0,294.0,455.0,141.0,1128.0,990.0,576.0,1054.0,680.0,226.0,717.0,107.0,232.0,195.0,171.0,154.0,567.0,192.0,412.0,1190.0,828.0,477.0,418.0,432.0,817.0,1535.0,43.5,667.0,652.0,703.0,706.0,698.0,705.0,44.0,725.0,1661.0,971.0,419.0,914.0,82.09,csr1202a_frontal.png,csr1202a_lateral.png,csr1202a_frontal_mask.png,csr1202a_lateral_mask.png
1204,Male,690.0,290.0,216.0,609.0,952.0,736.0,393.0,525.0,147.0,1143.0,,690.0,1133.0,904.0,262.0,874.0,134.0,304.0,235.0,236.0,157.0,596.0,206.0,422.0,1134.0,996.0,625.0,519.0,532.0,1001.0,1953.0,31.0,613.0,631.0,947.3,950.0,955.0,937.0,15.0,709.0,1865.0,1038.0,502.0,1175.0,108.39,csr1204a_frontal.png,csr1204a_lateral.png,csr1204a_frontal_mask.png,csr1204a_lateral_mask.png
1205,Male,649.0,263.0,205.0,537.0,835.0,630.0,332.0,485.0,137.0,1048.0,,608.0,1082.0,784.0,292.0,836.0,124.0,260.0,205.0,197.0,148.0,549.0,197.0,398.0,1093.0,866.0,552.0,493.0,514.0,952.0,1772.0,20.0,633.0,632.0,777.3,769.0,772.0,791.0,12.5,648.0,1757.0,880.0,473.0,1017.0,88.66,csr1205a_frontal.png,csr1205a_lateral.png,csr1205a_frontal_mask.png,csr1205a_lateral_mask.png
1206,Male,584.0,280.0,187.0,532.0,828.0,641.0,345.0,453.0,137.0,984.0,,638.0,989.0,802.0,213.0,765.0,118.0,264.0,211.0,193.0,145.0,570.0,198.0,364.0,1005.0,863.0,548.0,418.0,449.0,879.0,1741.0,17.0,592.0,587.0,819.0,819.0,819.0,819.0,11.0,598.0,1685.0,873.0,406.0,1000.0,73.47,csr1206a_frontal.png,csr1206a_lateral.png,csr1206a_frontal_mask.png,csr1206a_lateral_mask.png
1208,Female,526.0,265.0,200.0,515.0,787.0,587.0,315.0,490.0,150.0,1234.0,1099.0,636.0,1152.0,694.0,214.0,688.0,106.0,225.0,189.0,175.0,154.0,556.0,185.0,452.0,1370.0,864.0,515.0,450.0,495.0,796.0,1552.0,40.0,689.0,663.0,768.6,767.0,775.0,764.0,43.0,840.0,1722.0,1161.0,394.0,983.0,101.36,csr1208a_frontal.png,csr1208a_lateral.png,csr1208a_frontal_mask.png,csr1208a_lateral_mask.png
1210,Female,542.0,232.0,198.0,491.0,760.0,562.0,293.0,404.0,143.0,1027.0,852.0,556.0,986.0,725.0,219.0,739.0,105.0,225.0,189.0,177.0,159.0,565.0,181.0,390.0,1060.0,875.0,495.0,415.0,432.0,851.0,1605.0,31.5,575.0,589.0,733.3,735.0,733.0,732.0,25.5,685.0,1605.0,928.0,409.0,975.0,70.07,csr1210a_frontal.png,csr1210a_lateral.png,csr1210a_frontal_mask.png,csr1210a_lateral_mask.png
1211,Male,596.0,265.0,197.0,535.0,842.0,645.0,338.0,454.0,143.0,1032.0,,608.0,1002.0,798.0,225.0,750.0,122.0,265.0,213.0,203.0,156.0,568.0,198.0,371.0,1027.0,853.0,570.0,418.0,480.0,877.0,1747.0,18.0,605.0,607.0,798.0,802.0,803.0,789.0,9.0,661.0,1668.0,887.0,392.0,1053.0,80.5,csr1211a_frontal.png,csr1211a_lateral.png,csr1211a_frontal_mask.png,csr1211a_lateral_mask.png
1212,Female,558.0,244.0,196.0,534.0,821.0,625.0,338.0,387.0,136.0,920.0,798.0,618.0,889.0,,201.0,763.0,113.0,247.0,185.0,186.0,153.0,561.0,188.0,403.0,1075.0,853.0,547.0,423.0,445.0,877.0,1724.0,26.0,633.0,646.0,780.0,780.0,775.0,785.0,26.5,735.0,1565.0,790.0,355.0,1097.0,72.34,csr1212a_frontal.png,csr1212a_lateral.png,csr1212a_frontal_mask.png,csr1212a_lateral_mask.png
1213,Female,593.0,246.0,170.0,509.0,782.0,612.0,339.0,403.0,132.0,969.0,811.0,607.0,908.0,783.0,243.0,768.0,116.0,231.0,193.0,185.0,151.0,553.0,185.0,421.0,1071.0,838.0,523.0,395.0,411.0,868.0,1676.0,24.5,605.0,607.0,757.3,755.0,757.0,760.0,26.0,723.0,1606.0,821.0,372.0,1040.0,68.93,csr1213a_frontal.png,csr1213a_lateral.png,csr1213a_frontal_mask.png,csr1213a_lateral_mask.png
